,u_dpto,u_mpio,poblacion,alfabetizacion,analfabetismo,escolarizado,descolarizado,remunerado,no_remunerado,atencion_formal,atencion_informal,no_necesita_atencion,sexo_m,sexo_f,departamento,municipio,labels
904,52,540,8149,0.854583,0.145417,0.870536,0.129464,0.404958,0.595042,0.072279,0.010063,0.917659,4076,4073,NARIÑO,POLICARPA,4
905,68,425,2130,0.822066,0.177934,0.844601,0.155399,0.32723,0.67277,0.122066,0.005634,0.8723,1118,1012,SANTANDER,MACARAVITA,0
906,68,468,3915,0.867178,0.132822,0.885568,0.114432,0.329246,0.670754,0.124649,0.002299,0.873052,2075,1840,SANTANDER,MOLAGAVITA,0
907,68,498,4537,0.842627,0.157373,0.86026,0.13974,0.315407,0.684593,0.128058,0.00529,0.866652,2419,2118,SANTANDER,OCAMONTE,0
908,68,500,10117,0.856479,0.143521,0.86923,0.13077,0.382327,0.617673,0.099338,0.018978,0.881684,5102,5015,SANTANDER,OIBA,4
909,68,533,4144,0.869691,0.130309,0.880309,0.119691,0.395753,0.604247,0.106178,0.008205,0.885618,2168,1976,SANTANDER,PARAMO,4
910,68,573,6861,0.803673,0.196327,0.830637,0.169363,0.381431,0.618569,0.063256,0.023612,0.913132,3549,3312,SANTANDER,PUERTO PARRA,4
911,68,575,31698,0.816045,0.183955,0.848098,0.151902,0.338065,0.661935,0.060982,0.025617,0.913401,16330,15368,SANTANDER,PUERTO WILCHES,4
912,05,315,5452,0.827403,0.172597,0.853448,0.146552,0.341343,0.658657,0.044387,0.001101,0.954512,2781,2671,ANTIOQUIA,GUADALUPE,4
913,05,347,4709,0.85241,0.14759,0.861329,0.138671,0.384158,0.615842,0.177745,0.02612,0.796135,2464,2245,ANTIOQUIA,HELICONIA,0
914,05,353,4950,0.839798,0.160202,0.847273,0.152727,0.388889,0.611111,0.106465,0.005253,0.888283,2464,2486,ANTIOQUIA,HISPANIA,4
915,05,390,7974,0.83233,0.16767,0.861299,0.138701,0.446075,0.553925,0.09067,0.008653,0.900677,4000,3974,ANTIOQUIA,LA PINTADA,3
916,05,467,5881,0.852916,0.147084,0.877742,0.122258,0.378677,0.621323,0.124979,0.017684,0.857337,3007,2874,ANTIOQUIA,MONTEBELLO,4
917,05,475,4642,0.625162,0.374838,0.6676,0.3324,0.258509,0.741491,0.075614,0.014003,0.910383,2362,2280,ANTIOQUIA,MURINDO,2
918,05,490,38420,0.79063,0.20937,0.818844,0.181156,0.28126,0.71874,0.080401,0.021968,0.897631,19094,19326,ANTIOQUIA,NECOCLI,1
919,19,022,16523,0.798221,0.201779,0.839375,0.160625,0.272166,0.727834,0.075107,0.023119,0.901773,8279,8244,CAUCA,ALMAGUER,1
920,19,290,5089,0.847121,0.152879,0.885439,0.114561,0.357831,0.642169,0.195716,0.005109,0.799175,2602,2487,CAUCA,FLORENCIA,0
921,19,364,16353,0.785911,0.214089,0.835321,0.164679,0.2997,0.7003,0.077539,0.0425,0.879961,8287,8066,CAUCA,JAMBALO,1
922,19,392,9935,0.832008,0.167992,0.87388,0.12612,0.227378,0.772622,0.190639,0.022849,0.786512,5107,4828,CAUCA,LA SIERRA,0
923,19,397,19777,0.823836,0.176164,0.860798,0.139202,0.267027,0.732973,0.100167,0.041108,0.858725,10079,9698,CAUCA,LA VEGA,0
924,19,473,29737,0.794532,0.205468,0.835895,0.164105,0.327773,0.672227,0.105357,0.025288,0.869355,15102,14635,CAUCA,MORALES,1
